"Agency","Date","Agenda Section","Item Heading","Item Content","Relevance Score"
"Santa Clara County","March 10, 2015","Commendations and Proclamations.","64. Commendations and Proclamations. (See Item No. 6)"," a. Adopt Commendation recognizing Social Workers for providing valuable compassion and advocacy for those in need. (President) (ID# 75363) b. Adopt Commendation recognizing Junior League of San Jose for training valuable volunteers who continue to benefit our community. (Cortese) (ID# 75364) c. Adopt Proclamation declaring March 12, 2015 as Azteca Mexica New Years Day in Santa Clara County. (Chavez/Cortese) (ID# 75362) d. Adopt Commendation for Korean First Full Moon Festival and congratulate the Korean First Full Moon Festival 2015 Committee for its dedication to making Santa Clara County a community of cultural richness and warmth for all to share. (Cortese) (ID# 75409) e. Adopt Commendation for Chi Am Circle for its outstanding network in building support among Asian American Women. (Cortese) (ID# 75408) f. Adopt Commendation recognizing Bay Area Chrysanthemum Growers Association for continuing to play a vital role in the success of the business community and for supporting the success of the Chinese American community in Santa Clara County. (Cortese) (ID# 75434) g. Adopt Commendation for Kyoto Palace as it is being recognized as Campbell Business of the Year 2014. (Yeager) (ID# 75347) h. Adopt Commendation for Leonard Cino as he is being recognized as Campbell Citizen of the Year 2014. (Yeager) (ID# 75346) i. Adopt Commendation for Michael J. Scanlon as he retires after 15 years of success leading SamTrans, the Peninsula Corridor Joint Powers Authority (Caltrain), and the San Mateo County Transportation Authority. (Yeager) (ID# 75429) j. Adopt Commendation for Esmeralda Garcia as she retires after 35 years of service to the County of Santa Clara. (Probation Department) (ID# 75075)",""
"Santa Clara County","March 10, 2015","Commendations and Proclamations.","65. Approve Certificates of Appreciation to Employee Excellence Award Honorees for March 2015. (See Item No. 7) (ID# 75348)","",""
"Santa Clara County","March 10, 2015","Parks and Recreation Department","66. Adopt Resolution approving County application for Fiscal Year 2014-2015 grant funds from the State of California, Department of Parks and Recreation, Off-Highway Motor Vehicle Recreation Grant Funds, and delegating authority to Director, Parks and Recreation Department, or designee, to negotiate, execute, and submit necessary documents for completion of the grant project, following approval by County Counsel as to form and legality, and approval by the Office of the County Executive. Delegation of authority shall expire on December 31, 2016. (Roll Call Vote) (ID# 75011)","",""
"Santa Clara County","March 10, 2015","Consumer and Environmental Protection Agency","67. Adoption of Salary Ordinance No. NS-5.15.99 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees deleting one Account Clerk II position and adding one Accountant Assistant or Account Clerk II position in the Department of Agriculture and Environmental Management. (ID# 74947)"," Action to Introduce and Preliminarily adopt on March 10, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 24, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","March 10, 2015","Roads and Airports Department","68. Accept Report on Bids for Lawrence Expressway Median Weed Abatement Project. (ID# 74734)"," Possible action: a. Award contract to Jessop Holding Co., LLC, dba Yosemite Nursery in the amount of $252,700, which includes an allowance for supplemental work in accordance with the Contract Documents, and a construction time of 15 working days. b. Authorize Director, Roads and Airports Department, to issue Change Orders against the allowance for supplemental work and to approve modifications to the construction time.",""
"Santa Clara County","March 10, 2015","Facilities and Fleet Department","69. Consider recommendations relating to the LED Lighting and Lighting Controls Agreement with PowerSecure Inc., Capital Energy Project 263-EN12002. (ID# 75213)"," Possible action: a. Approve an increase in the Supplemental Work Allowance (SWA) for the LED Lighting and Lighting Controls Project 263-EN12002 of $150,000, from $280,000 to $430,000, and an increase in the encumbrance by $150,000 from $3,078,153 to $3,228,153, and extend the construction time by 180 days from 730 calendar days to 910 calendar days. b. Approve delegation of authority to Director, Facilities and Fleet Department, or designee, to be the Owners Authorized Representative with authority to issue Change Orders, as necessary, against the SWA, following approval by County Counsel as to form and legality, and approval by the Office of the County Executive. Delegation of authority shall expire on September 30, 2016.",""
"Santa Clara County","March 10, 2015","Facilities and Fleet Department","70. Approve Agreement with RFI Enterprises, Inc., relating to providing software support, repairs, and parts necessary to maintain and/or upgrade the County security door system in an amount not to exceed $1,000,000 for period March 10, 2015 through March 9, 2018, with an option to extend for two additional years, that has been reviewed and approved by County Counsel as to form and legality. (ID# 75251)","",""
"Santa Clara County","March 10, 2015","Facilities and Fleet Department","71. Held from February 24, 2015 (Item No. 13p): Receive report relating to maintenance and repair allocation options. (Facilities and Fleet Department) (ID# 75128)"," Request from Administration to hold item to March 24, 2015.",""
"Santa Clara County","March 10, 2015","Final Adoption of Ordinances","72. Consider recommendations relating to the Fiscal Year 2015 Mid-Year Budget Review. (Office of the County Executive) (ID# 75168)"," Possible action: a. Adoption of Salary Ordinance No. NS-5.15.82 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adding various classified and unclassified positions in the Office of the County Executive, Information Services Department, County Communications Department, Facilities and Fleet Department, Mental Health Department, Santa Clara Valley Medical Center, Department of Revenue, Office of the District Attorney and Office of the Public Defender. Unclassified positions shall expire on September 11, 2016. Action to Introduce and Preliminarily adopt on February 24, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 10, 2015; Roll Call Vote to adopt. b. Adoption of Salary Ordinance No. NS-5.15.84 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adding one Manager, Office of Immigrant Relations and Integration Services position in the Office of the County Executive and amending the salary schedule to add the position of Manager, Office of Immigrant Relations and Integration Services. Action to Introduce and Preliminarily adopt on February 24, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 10, 2015; Roll Call Vote to adopt. c. Adoption of Salary Ordinance No. NS-5.15.86 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adding one IT Change and Release Manager position in the Information Services Department. Action to Introduce and Preliminarily adopt on February 24, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 10, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","March 10, 2015","Final Adoption of Ordinances","73. Adoption of Salary Ordinance No. NS-20.15.04 amending Santa Clara County Salary Ordinance No. NS-20.15 relating to compensation of employees adding one Deputy Chief Probation Officer position in the Probation Department. (Office of the County Executive) (ID# 75184)"," Action to Introduce and Preliminarily adopt on February 24, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 10, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","March 10, 2015","Final Adoption of Ordinances","74. Adoption of Salary Ordinance No. NS-5.15.80 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees deleting and adding various positions in Santa Clara Valley Medical Center. (Santa Clara Valley Health and Hospital System) (ID# 74426)"," Action to Introduce and Preliminarily adopt on February 24, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 10, 2015; Roll Call Vote to adopt.",""
"Santa Clara County","March 10, 2015","Final Adoption of Ordinances","75. Adoption of Salary Ordinance No. NS-5.15.94 amending Santa Clara County Salary Ordinance No. NS-5.15 relating to compensation of employees adding one Health Care Program Analyst II or Health Care Program Analyst I or Health Care Program Analyst Associate position, two Valley Health Plan Claims Examiner positions, two Senior Financial Analyst or Financial Analyst II or Financial Analyst I positions, two Senior Health Care Program Analyst or Health Care Program Analyst II or Health Care Program Analyst I or Health Care Program Analyst Associate positions, one Health Care Services Business Development Analyst position, two Valley Health Plan Member Services Representative positions, one Administrative Assistant position, and two Utilization Review Coordinator - VHP positions in the Santa Clara Valley Health and Hospital System, Valley Health Plan. (Santa Clara Valley Health and Hospital System) (ID# 74885)"," Action to Introduce and Preliminarily adopt on February 24, 2015; Roll Call Vote to waive reading, Roll Call Vote to adopt. Action for Final Adoption on March 10, 2015; Roll Call Vote to adopt.",""
